10000
891 -175
-923 -30
260 751
753 -930
375 -901
291 -539
-290 -429
853 -198
850 -686
480 284
12 -286
838 394
-491 294
901 124
-234 -386
654 322
-591 -538
-928 -406
13 -885
-284 -736
-139 -256
-712 -430
669 -201
70 162
257 -401
-892 -991
31 371
-967 807
264 -558
544 -784
-856 499
-175 -74
-459 -273
-903 639
318 1000
-26 814
-685 344
485 383
-531 95
270 8
-526 831
-328 -659
-862 -655
-363 -766
-539 -188
789 -838
2 -169
490 640
-700 676
-158 -73
583 38
162 -821
149 -81
-955 -811
102 877
194 -237
-779 634
-504 -624
-316 6
731 701
398 -971
-921 -502
-117 -821
-559 -54
62 278
-745 210
-933 -966
538 -282
77 923
242 -857
-599 -787
-798 -271
927 -25
718 -285
281 -104
388 554
726 936
-433 -412
-800 920
-229 -565
-525 -538
-559 -863
-849 -154
-115 111
789 -406
493 86
340 813
224 -202
633 807
-927 31
382 585
-833 -577
-717 649
-810 -303
-534 45
-503 694
206 -952
-3 64
-858 -774
-60 481
-803 -876
546 114
588 670
-204 452
-110 617
538 -43
785 -594
481 397
35 -15
-606 469
784 971
-3 11
-708 -979
163 294
-323 -614
712 -376
-256 -820
880 -126
-569 68
844 99
-37 299
-929 766
20 100
645 -501
761 579
-810 419
-316 -413
44 931
-946 781
-318 -719
-252 77
-398 616
-835 -220
-895 385
-978 -642
147 467
769 -848
489 -955
798 26
-33 87
-536 939
340 -699
-699 527
-516 -459
357 667
116 -486
480 -593
370 -683
907 -426
328 175
187 4
-713 -199
-29 -995
166 -467
327 -158
-390 450
156 92
-930 51
514 828
-525 -41
-381 -869
493 810
-931 857
-13 -293
-925 -179
234 497
70 627
-73 249
321 585
525 267
-232 663
-457 -349
998 -605
-229 50
703 -522
-446 -236
-778 302
-758 -817
-24 -275
728 251
455 -581
329 443
-166 339
-511 -613
439 -86
-494 -78
-738 -744
-552 -166
435 531
157 449
116 -178
-439 -448
313 556
-777 155
-867 -905
-459 774
667 -322
-710 31
633 -340
-943 960
920 -803
459 -845
-586 500
-305 6
749 760
62 -644
-631 -822
445 336
724 -69
-907 759
463 -66
310 259
-520 -734
-995 -22
457 -860
163 756
-383 -259
-913 -875
85 787
-469 389
458 -44
-21 784
-171 -419
-440 970
589 788
283 105
-625 48
-780 -923
661 -650
102 27
105 956
-354 -829
873 37
-567 388
247 929
-783 -494
330 -867
-259 691
868 841
924 420
-289 -14
612 -562
777 523
-917 477
708 245
697 -585
230 -231
-515 594
-566 -526
326 639
-434 461
-797 845
-935 291
-978 677
-468 -586
-656 212
555 111
907 429
-908 145
-922 -496
523 742
-408 -208
-780 775
530 473
-609 757
42 -155
-774 352
-668 145
-110 -193
726 465
357 -839
497 272
756 -220
333 424
-775 647
-946 225
-944 -830
86 633
130 -280
-726 -880
436 412
-47 -977
211 901
-849 409
351 27
-869 -957
9 365
475 -936
-353 792
-978 -391
-75 -705
-665 262
-837 -412
971 773
834 114
846 209
-40 486
894 -151
-551 954
85 316
-372 647
-326 -821
474 448
687 -278
-636 -538
-967 362
-164 530
-186 655
945 -721
-900 -751
-575 -694
642 363
241 541
581 275
-833 -804
145 482
-763 530
-433 910
-762 56
544 -99
-727 636
229 208
-93 -375
-276 -622
-946 957
-329 -741
-534 2
14 -11
756 192
275 -673
58 -766
-344 -967
752 -681
-127 -782
-216 -30
880 658
485 -584
575 410
-17 969
782 -364
547 -601
350 -455
639 -675
-181 457
-708 194
-98 918
-623 316
-394 -409
-218 -54
-823 375
119 962
785 -381
-134 262
-589 68
196 617
858 187
-19 -100
744 822
783 -458
727 -914
846 505
-868 291
-267 295
848 252
-189 -147
780 -103
923 39
-310 626
327 275
-576 -891
-430 572
-711 305
-304 517
455 408
404 -523
351 598
-88 50
-988 -829
-151 -184
-2 217
456 -224
-235 873
-538 -790
-837 -868
560 506
581 444
731 22
795 52
-479 582
549 -201
292 703
-547 291
-349 -763
272 -102
648 308
-620 -906
457 585
562 915
-919 -468
-875 -458
786 -54
-969 690
18 -565
682 -51
507 -85
791 805
-646 -680
566 458
408 627
-400 -512
-496 -578
374 -923
-76 391
-884 927
-241 -970
968 193
-960 852
490 879
-795 -599
-628 977
-175 321
-318 -815
632 -796
-234 -675
159 -501
209 -741
-460 759
909 -494
825 -314
-381 -916
406 815
704 -703
735 568
-671 286
146 -548
723 -325
310 13
798 532
-87 633
294 -190
-827 127
-660 507
-61 587
-702 -488
-198 799
138 -813
-466 -497
438 -672
275 21
-8 138
-801 -798
419 999
916 -550
-681 -432
-588 823
29 472
770 -927
-548 81
595 431
747 279
980 -173
-14 -312
-378 -568
-65 257
159 276
-912 132
318 -71
234 200
-239 -102
932 -427
866 545
660 -266
48 210
-477 -955
191 -652
-403 435
-518 -894
79 763
259 -377
-774 -204
283 -426
-810 -592
-348 -188
-696 -973
503 82
778 -639
-573 662
-81 -224
-910 570
787 -871
-332 708
973 263
681 207
-490 650
257 102
-586 -21
34 876
284 -212
569 523
-646 -928
-531 -430
389 517
968 80
225 914
559 -985
-244 -950
-241 -384
35 958
-977 -108
-125 -971
743 -776
335 -35
-781 -546
-110 468
566 368
330 -426
312 -183
296 -144
-794 754
895 -653
-511 -457
-914 -120
753 -723
-651 -722
-144 628
-334 676
-823 -980
285 624
-722 -988
-229 -884
341 -529
58 -419
-190 -691
262 -401
231 -102
-693 -714
329 -119
456 388
291 662
-507 -874
353 75
904 -811
-588 -220
-3 386
-247 -795
287 778
958 -697
-284 -841
48 -317
793 683
582 830
128 -764
810 -621
-864 228
14 -167
747 900
952 918
-952 884
854 -421
976 995
-121 -759
289 -483
-678 -189
-830 -906
368 425
137 -986
-890 -988
445 -755
-777 660
430 123
-698 -100
296 -126
300 -91
527 -8
74 826
-509 -39
-601 463
-157 -6
170 904
864 392
984 782
623 762
-723 -352
385 -920
955 129
310 -429
736 858
381 40
3 -282
509 386
-954 190
981 179
664 -972
-771 356
986 11
-804 872
113 471
112 -378
46 483
-90 848
805 -842
-224 770
577 -123
910 -894
-281 454
-509 952
891 488
-9 132
-959 240
389 -818
734 907
-135 362
730 -141
-688 -119
75 393
293 -688
318 -309
811 646
730 141
-688 -483
-870 432
-493 490
-242 611
-765 -389
126 -334
730 541
-312 -82
311 -482
-335 -838
-850 500
-643 -581
49 -755
182 -811
344 -94
-95 136
260 551
-215 648
-990 -257
-933 977
927 608
-359 -79
100 995
821 338
198 734
-360 461
83 -13
988 830
-368 592
-838 37
118 -156
-242 -921
-433 -800
-244 290
-550 396
301 607
432 929
564 902
202 -46
465 -219
-267 -317
941 -794
420 -15
-300 406
207 -989
-843 68
-274 761
862 -522
-598 -378
589 174
146 884
982 616
-640 -431
6 -277
-93 -104
42 -922
769 -724
400 107
225 -11
-653 888
802 -78
538 -434
974 -181
-145 712
162 -301
129 -533
-643 185
-831 -871
-952 490
-948 -547
-262 485
606 -295
-201 418
8 65
503 10
-659 -775
-832 921
-881 -825
800 627
137 -3
-505 286
254 134
633 118
669 -711
-6 -829
-796 -243
-328 462
-70 303
471 826
-552 852
266 286
-207 542
-13 -369
-408 958
-185 827
135 -718
534 -719
-865 -892
-820 -930
-415 255
-694 347
-935 601
834 -429
607 -31
-580 -780
439 -928
-388 154
647 914
-939 709
555 403
-75 884
448 -477
-668 -191
336 -896
-853 563
-224 422
-30 650
263 -122
-528 159
-454 447
106 -56
-828 -360
326 -766
838 9
710 385
-492 242
962 995
-189 22
675 697
-474 947
781 511
-157 -354
-938 -111
-416 -344
-664 -419
-900 -693
265 -719
-359 -305
-783 540
-397 542
-339 981
529 -112
24 -909
362 -171
-376 529
870 97
324 766
301 820
-806 939
-167 -750
193 -236
-669 -623
-317 116
362 468
600 920
-218 257
-461 184
76 -616
130 -669
-533 -5
627 323
-122 59
-333 -972
17 -664
-580 365
428 -177
-302 582
289 -372
-374 641
142 -614
695 -884
-542 767
-947 872
-101 86
-803 -423
128 -756
407 603
-759 439
555 69
-756 -285
559 895
475 49
-980 718
-804 313
-889 -260
-120 590
-306 614
